Community Board,Deaths
101.0,24
102.0,26
103.0,33
104.0,14
105.0,41
106.0,27
107.0,18
108.0,11
109.0,8
110.0,11
111.0,20
112.0,13
201.0,14
202.0,2
203.0,8
204.0,7
205.0,15
206.0,8
207.0,3
208.0,2
209.0,4
210.0,12
211.0,6
212.0,14
301.0,24
302.0,6
303.0,11
304.0,10
305.0,9
306.0,21
307.0,13
308.0,18
309.0,2
310.0,7
311.0,5
312.0,5
313.0,4
314.0,6
315.0,16
316.0,17
317.0,1
318.0,7
401.0,9
402.0,25
403.0,1
404.0,7
405.0,4
406.0,1
407.0,8
408.0,12
409.0,11
410.0,9
411.0,7
412.0,9
413.0,12
414.0,10
501.0,14
502.0,8
503.0,4
